artist_id,artist_genres
2DmYtFBKcxb3ajwWWgA576,"['latin pop', 'mexican pop', 'ranchera']"
5YNi3BopLa4XtYRtzML80L,"['banda', 'musica mexicana', 'musica sonorense', 'norteno']"
5EecErlsSY1zKagDDosd6w,[]
5xYNmNkaWRqu3e5F4UXME8,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sad sierreno', 'sierreno']"
3HxZx0W1g7n9DGdCFFHcRZ,['norteno']
4MXUO7sVCaFgFjoTI5ox5c,"['art pop', 'baroque pop', 'chamber pop', 'indie pop', 'indie rock', 'singer-songwriter']"
2XKXuLdjmigGQx286z07ZZ,"['classical piano', 'russian classical piano']"
03Yb3iBy9GCifXiATEFcit,"['banda', 'latin talent show', 'mariachi', 'musica mexicana', 'ranchera']"
2MQ4Kb9A8KkwQmK2LjaSw2,"['boogaloo', 'latin jazz', 'salsa']"
4mVQMbJAHOazLrBmgpgB8M,['anime score']
4MjgWorqPJ7J6Dnlm5POD1,['reggae en espanol']
1rjI82QFF2g7ZN3LiCZQ1x,['tierra caliente']
13VwGEitoK8J0qjNjbgeTN,"['panamanian pop', 'reggaeton']"
1f6CQnTy4FKDgLGzp6G2Wd,['vallenato']
703bt8lQUa3giyYBNJrDtE,['duranguense']
1l7ZsJRRS8wlW3WfJfPfNS,"['dance pop', 'pop']"
4xtWjIlVuZwTCeqVAsgEXy,['rap rock']
1fnDlUNi67FQtHHqBl4Yfg,"['north carolina emo', 'pop emo', 'screamo']"
3bTTtdHi2gxhc8O68LNXXB,"['alternative emo', 'brooklyn indie', 'midwest emo']"
3nOQJdlPEzFVhTEzxwcGax,"['swiss indie', 'swiss rock']"
7iLc4hrjOjQPfg1E3cCHg1,"['edm', 'electro house', 'pop dance', 'progressive electro house']"
2bimgkRmsxRhhuWsOnd5rz,"['latin christian', 'mariachi cristiano']"
7kozeGeawfP7IEEL6dddrM,"['canadian metal', 'death metal', 'groove metal', 'melodic death metal', 'metal', 'quebec death metal', 'technical melodic death metal', 'viking metal']"
2NUz5P42WqkxilbI8ocN76,"['dancehall', 'jamaican dancehall', 'reggae fusion']"
1h6Cn3P4NGzXbaXidqURXs,"['edm', 'pop dance', 'progressive electro house']"
6B1qY6diGzu9FFbGOG7fSk,['italian mandolin']
